a war	Cx=219340038	Bx=801301707
war approximately	Cy=765519	By=3180885
war apr	Cy=232644	By=1481759
april war	Cx=1421772	Bx=5147930
war april	Cy=1421772	By=5147930
war apt	Cy=221868	By=510656
aquitanian war	Cx=607	Bx=1699
ar war	Cx=164280	Bx=832424
war ar	Cy=164280	By=832424
arab war	Cx=309309	Bx=1214545
war arab	Cy=309309	By=1214545
arabian war	Cx=49371	Bx=147784
arabisrael war	Cx=55	Bx=485
arabisraeli war	Cx=418	Bx=3202
arapaho war	Cx=4349	Bx=19742
araucanian war	Cx=2072	Bx=3889
arbeit war	Cx=5183	Bx=16525
arbitrary war	Cx=333337	Bx=795887
war arc	Cy=326348	By=1082351
archidamian war	Cx=114	Bx=552
war architects	Cy=109897	By=522098
war architectural	Cy=138765	By=784442
war architecture	Cy=314524	By=1682936
archive war	Cx=15553	Bx=201565
war archive	Cy=15553	By=201565
archives war	Cx=182069	Bx=1116299
war archives	Cy=182069	By=1116299
war archon	Cy=5695	By=20763
ardent war	Cx=92442	Bx=188900
war ardor	Cy=26423	By=56894
arduous war	Cx=40555	Bx=114090
are war	Cx=51718271	Bx=198032742
war are	Cy=51718271	By=198032742
area war	Cx=3281267	Bx=13269127
war area	Cy=3281267	By=13269127
areas war	Cx=2129097	Bx=8923401
war areas	Cy=2129097	By=8923401
war aren	Cy=142000	By=883537
war arena	Cy=76054	By=472065
war ares	Cy=9638	By=29968
war argentina	Cy=131303	By=510372
argentine war	Cx=61490	Bx=205290
argive war	Cx=5301	Bx=9278
war argue	Cy=200020	By=1315393
war argued	Cy=347520	By=1917020
war argues	Cy=90042	By=853953
war argument	Cy=821331	By=3082608
war arguments	Cy=412051	By=1608602
war argus	Cy=16796	By=47495
arid war	Cx=76776	Bx=221520
war arid	Cy=76776	By=221520
war arise	Cy=444831	By=1417075
war arises	Cy=294436	By=874319
war arising	Cy=246104	By=700523
aristocratic war	Cx=102510	Bx=241409
war arkansas	Cy=132053	By=568705
arm war	Cx=642424	Bx=2620462
war arm	Cy=642424	By=2620462
war armament	Cy=40393	By=93316
war armaments	Cy=50747	By=96517
armed war	Cx=538897	Bx=1511501
war armed	Cy=538897	By=1511501
armenian war	Cx=34376	Bx=136095
armies war	Cx=258644	Bx=556048
war armies	Cy=258644	By=556048
war armistice	Cy=81185	By=127099
war armor	Cy=64944	By=246365
armored war	Cx=44135	Bx=184744
war armour	Cy=55463	By=118023
armoured war	Cx=27790	Bx=64483
arms war	Cx=1051562	Bx=3662189
war arms	Cy=1051562	By=3662189
war armstrong	Cy=71502	By=334395
army war	Cx=2011017	Bx=5351142
war army	Cy=2011017	By=5351142
war arnold	Cy=216850	By=724771
aroostock war	Cx=102	Bx=275
aroostook war	Cx=2216	Bx=7403
arose war	Cx=284916	Bx=683152
war arose	Cy=284916	By=683152
around war	Cx=2619188	Bx=13137108
war around	Cy=2619188	By=13137108
arouse war	Cx=93134	Bx=199713
aroused war	Cx=203993	Bx=432620
war aroused	Cy=203993	By=432620
war arouses	Cy=23685	By=56142
arousing war	Cx=35198	Bx=92489
arranged war	Cx=480614	Bx=1429342
war arranged	Cy=480614	By=1429342
war arrangement	Cy=546006	By=1547110
war arrangements	Cy=381919	By=1362674
war array	Cy=143337	By=1093358
war arrayed	Cy=22549	By=59308
arrest war	Cx=264098	Bx=983239
war arrested	Cy=243653	By=813299
arresting war	Cx=31305	Bx=98338
war arrive	Cy=273996	By=927564
arrived war	Cx=831610	Bx=2575032
war arrived	Cy=831610	By=2575032
war arrives	Cy=84806	By=332577
war arriving	Cy=145324	By=509856
arrogant war	Cx=47101	Bx=168831
arrow war	Cx=134031	Bx=735787
war arrow	Cy=134031	By=735787
war arrows	Cy=115012	By=515146
war arsenal	Cy=41157	By=132463
war arsenals	Cy=8456	By=28679
arsenical war	Cx=5135	Bx=8581
art war	Cx=2506014	Bx=8220342
war art	Cy=2506014	By=8220342
war arter	Cy=3232	By=10500
war arthur	Cy=506274	By=1824874
war article	Cy=1072699	By=3486721
war articles	Cy=691760	By=2355007
war artifacts	Cy=49385	By=373779
artificial war	Cx=320299	Bx=1149395
artillery war	Cx=200374	Bx=565024
war artillery	Cy=200374	By=565024
war artist	Cy=453596	By=1575595
artistic war	Cx=279713	Bx=969610
war artistic	Cy=279713	By=969610
war artists	Cy=307501	By=1489759
artless war	Cx=8902	Bx=18015
artow war	Cx=369	Bx=784
war arts	Cy=703938	By=2518370
ary war	Cx=11261	Bx=42441
aryan war	Cx=26761	Bx=80900
as war	Cx=79198147	Bx=279911172
war as	Cy=79198147	By=279911172
asante war	Cx=1589	Bx=20845
war ascended	Cy=38773	By=93639
ascribed war	Cx=112694	Bx=263280
ashantee war	Cx=1134	Bx=1151
ashanti war	Cx=15987	Bx=31245
war ashore	Cy=89290	By=211104
asia war	Cx=517548	Bx=1540037
war asia	Cy=517548	By=1540037
asian war	Cx=151890	Bx=1085643
war asian	Cy=151890	By=1085643
asiatic war	Cx=68913	Bx=113929
aside war	Cx=496789	Bx=1599105
war aside	Cy=496789	By=1599105
ask war	Cx=1131516	Bx=4947650
asked war	Cx=2236069	Bx=9159168
war asked	Cy=2236069	By=9159168
war asking	Cy=390847	By=1711804
war asks	Cy=215557	By=1012094
war asleep	Cy=171666	By=676828
war aspect	Cy=607682	By=2352973
war aspects	Cy=920452	By=4205580
war aspirations	Cy=155259	By=468369
ass war	Cx=105302	Bx=519084
assail war	Cx=11405	Bx=21000
war assail	Cy=11405	By=21000
war assailed	Cy=32113	By=61467
assailing war	Cx=4315	Bx=8911
war assault	Cy=169133	By=771400
assembled war	Cx=218655	Bx=631468
war assembled	Cy=218655	By=631468
war assembly	Cy=810434	By=2239471
war assert	Cy=160485	By=480337
war asserted	Cy=194071	By=551860
assess war	Cx=96880	Bx=1232849
assessing war	Cx=55105	Bx=689916
war assessment	Cy=186733	By=3724781
war assessments	Cy=46615	By=435387
war asset	Cy=99546	By=540040
war assets	Cy=282882	By=1375296
assigned war	Cx=523123	Bx=1954369
war assigned	Cy=523123	By=1954369
war assignment	Cy=236589	By=1019913
war assignments	Cy=118234	By=545737
war assigns	Cy=44311	By=182540
assist war	Cx=267092	Bx=1311236
war assistance	Cy=686193	By=2870826
assistant war	Cx=401516	Bx=1658604
assisted war	Cx=144039	Bx=648163
war assisted	Cy=144039	By=648163
assisting war	Cx=60882	Bx=273704
associate war	Cx=239197	Bx=1099304
associated war	Cx=1238164	Bx=7435506
war associated	Cy=1238164	By=7435506
war associates	Cy=270100	By=1137487
association war	Cx=1662995	Bx=6780386
war association	Cy=1662995	By=6780386
war associations	Cy=391270	By=1274502
assorted war	Cx=26067	Bx=107436
assume war	Cx=859389	Bx=2854957
war assume	Cy=859389	By=2854957
assumed war	Cx=895731	Bx=2741352
war assumed	Cy=895731	By=2741352
war assumes	Cy=194709	By=787299
assuming war	Cx=337718	Bx=1176736
war assuming	Cy=337718	By=1176736
war assumption	Cy=569209	By=1841682
war assumptions	Cy=285599	By=1467675
war assured	Cy=303756	By=865482
war assures	Cy=40571	By=139189
assyrian war	Cx=35147	Bx=78564
war astonished	Cy=85233	By=219456
astonishing war	Cx=89610	Bx=234460
astronomical war	Cx=63023	Bx=158654
asymmetric war	Cx=20610	Bx=121477
asymmetrical war	Cx=22254	Bx=106269
at war	Cx=48414875	Bx=163062398
war at	Cy=48414875	By=163062398
ate war	Cx=170428	Bx=733476
war ate	Cy=170428	By=733476
athenian war	Cx=71115	Bx=138192
war athens	Cy=217257	By=533685
athletic war	Cx=98034	Bx=399260
atjeh war	Cx=597	Bx=1084
war atlanta	Cy=104018	By=668717
atlantic war	Cx=403315	Bx=1203225
war atlas	Cy=103051	By=330808
war atmosphere	Cy=582783	By=1670029
atom war	Cx=317251	Bx=598771
atomic war	Cx=484011	Bx=1002225
war atomic	Cy=484011	By=1002225
atrocious war	Cx=17019	Bx=38526
war atrocities	Cy=27325	By=99255
war atrocity	Cy=8700	By=32933
war attach	Cy=91051	By=394536
war attached	Cy=534576	By=1808957
attack war	Cx=1121569	Bx=3296161
war attack	Cy=1121569	By=3296161
attacked war	Cx=338410	Bx=886834
war attacked	Cy=338410	By=886834
attacking war	Cx=123399	Bx=361108
attacks war	Cx=358737	Bx=1267260
war attacks	Cy=358737	By=1267260
war attained	Cy=267220	By=604202
war attains	Cy=38355	By=85561
attempt war	Cx=1342662	Bx=4382386
war attempt	Cy=1342662	By=4382386
attempted war	Cx=485432	Bx=1653370
war attempted	Cy=485432	By=1653370
war attempting	Cy=241114	By=967255
war attempts	Cy=617857	By=2461804
attend war	Cx=327686	Bx=1169388
war attend	Cy=327686	By=1169388
war attendance	Cy=194875	By=598485
attendant war	Cx=98476	Bx=336012
attended war	Cx=389373	Bx=1335345
war attended	Cy=389373	By=1335345
attending war	Cx=174675	Bx=735855
war attending	Cy=174675	By=735855
attends war	Cx=34087	Bx=116336
war attends	Cy=34087	By=116336
war attention	Cy=1714621	By=6714665
war attest	Cy=23998	By=107663
war attested	Cy=43082	By=135204
war attests	Cy=12241	By=59190
attic war	Cx=58844	Bx=201186
war attire	Cy=27292	By=92197
war attitude	Cy=1154423	By=2878027
war attitudes	Cy=743027	By=2947975
war attorney	Cy=336432	By=1337665
attract war	Cx=148933	Bx=580733
war attracted	Cy=234471	By=806966
attractive war	Cx=299585	Bx=1195369
war attractive	Cy=299585	By=1195369
war attracts	Cy=31777	By=119806
attribute war	Cx=139022	Bx=693773
war attribute	Cy=139022	By=693773
attributed war	Cx=306159	Bx=1092689
war attributed	Cy=306159	By=1092689
attributes war	Cx=197583	Bx=1044396
attributing war	Cx=23296	Bx=85076
attrition war	Cx=23732	Bx=125223
attritional war	Cx=208	Bx=1506
war atween	Cy=701	By=1049
auch war	Cx=31179	Bx=78355
war auch	Cy=31179	By=78355
auckland war	Cx=10130	Bx=55979
aud war	Cx=25297	Bx=57736
war aud	Cy=25297	By=57736
audacious war	Cx=17757	Bx=44535
war audience	Cy=555175	By=2488905
war audiences	Cy=95815	By=543320
war auf	Cy=70232	By=166698
aufgabe war	Cx=1748	Bx=4239
war aug	Cy=373907	By=1891736
war augmented	Cy=61591	By=217510
august war	Cx=1164746	Bx=4357512
war august	Cy=1164746	By=4357512
war augustus	Cy=107348	By=264037
war aus	Cy=67555	By=196076
austere war	Cx=38984	Bx=99720
war austerity	Cy=22807	By=82104
war austin	Cy=138375	By=816241
war australia	Cy=218289	By=1020184
australian war	Cx=117637	Bx=567847
war australian	Cy=117637	By=567847
austria war	Cx=254984	Bx=600314
war austria	Cy=254984	By=600314
austrian war	Cx=156425	Bx=393951
war austrian	Cy=156425	By=393951
war austro	Cy=21093	By=51841
austroprussian war	Cx=179	Bx=265
austrorussian war	Cx=127	Bx=182
austroserbian war	Cx=39	Bx=66
authentic war	Cx=121450	Bx=500163
war author	Cy=1246259	By=4289412
war authorities	Cy=602604	By=1767059
war authority	Cy=1626955	By=4894309
war authorization	Cy=60968	By=266346
authorize war	Cx=49067	Bx=156171
war authorize	Cy=49067	By=156171
authorized war	Cx=281694	Bx=826676
war authorized	Cy=281694	By=826676
authorizes war	Cx=19082	Bx=71926
war authorizes	Cy=19082	By=71926
authorizing war	Cx=44952	Bx=124694
war authorizing	Cy=44952	By=124694
war authors	Cy=560816	By=2512371
autocratic war	Cx=35566	Bx=82111
automated war	Cx=38027	Bx=394582
automatic war	Cx=296255	Bx=1073367
war automatically	Cy=205943	By=982079
war automobile	Cy=263122	By=819255
war automobiles	Cy=90735	By=299896
autonomous war	Cx=117115	Bx=534949
autumn war	Cx=226329	Bx=627522
auxiliary war	Cx=137626	Bx=418165
war auxiliary	Cy=137626	By=418165
av war	Cx=95388	Bx=523231
available war	Cx=2115369	Bx=10316295
war available	Cy=2115369	By=10316295
war availed	Cy=18589	By=30436
war avant	Cy=33370	By=202969
avenging war	Cx=11241	Bx=30226
average war	Cx=1730997	Bx=6053142
war average	Cy=1730997	By=6053142
war averaged	Cy=76986	By=321767
war averages	Cy=88789	By=276844
avert war	Cx=33820	Bx=93031
averted war	Cx=29896	Bx=85794
war averted	Cy=29896	By=85794
averting war	Cx=7428	Bx=25612
averts war	Cx=1497	Bx=5507
aviation war	Cx=103454	Bx=428317
war aviation	Cy=103454	By=428317
war aviator	Cy=6662	By=32286
war aviators	Cy=6824	By=27282
avoid war	Cx=778400	Bx=3732782
avoidable war	Cx=8370	Bx=35578
war avoidance	Cy=109414	By=528586
avoided war	Cx=289150	Bx=1090117
war avoided	Cy=289150	By=1090117
avoiding war	Cx=120726	Bx=608467
avoids war	Cx=52069	Bx=239291
war avon	Cy=18174	By=112989
avorld war	Cx=56	Bx=98
avowed war	Cx=43431	Bx=78151
war avowedly	Cy=10222	By=19507
avowing war	Cx=2343	Bx=4468
war await	Cy=75351	By=209042
awaited war	Cx=62306	Bx=178412
war awaited	Cy=62306	By=178412
awaiting war	Cx=77680	Bx=247829
war awaiting	Cy=77680	By=247829
war awaits	Cy=26902	By=94562
war awakened	Cy=83707	By=251869
awakening war	Cx=78147	Bx=292492
war awakens	Cy=14296	By=54472
war awakes	Cy=6180	By=15289
war award	Cy=155126	By=1060554
awarded war	Cx=125063	Bx=584293
war awarded	Cy=125063	By=584293
away war	Cx=3188919	Bx=11515749
war away	Cy=3188919	By=11515749
awesome war	Cx=25118	Bx=144161
awful war	Cx=123438	Bx=471882
war awful	Cy=123438	By=471882
war awhile	Cy=43631	By=161594
war awoke	Cy=43435	By=142380
war ax	Cy=62003	By=196506
war axe	Cy=63345	By=152354
war axes	Cy=160825	By=344683
axis war	Cx=557750	Bx=1562544
war ay	Cy=90193	By=228726
aztec war	Cx=36514	Bx=120502
b war	Cx=5985018	Bx=28323007
war b	Cy=5985018	By=28323007
war babies	Cy=131296	By=810533
baby war	Cx=462879	Bx=2853099
war baby	Cy=462879	By=2853099
babylonian war	Cx=49359	Bx=140680
back war	Cx=5030946	Bx=21720794
war back	Cy=5030946	By=21720794
backed war	Cx=132863	Bx=538323
war backed	Cy=132863	By=538323
war background	Cy=735886	By=2997061
bacta war	Cx=1	Bx=388
bacteriological war	Cx=14680	Bx=31992
bad war	Cx=1119109	Bx=4320569
war bad	Cy=1119109	By=4320569
war bade	Cy=51370	By=83945
war badly	Cy=251121	By=769679
war bag	Cy=201556	By=1101919
war bags	Cy=91954	By=449262
war baker	Cy=200852	By=863864
balance war	Cx=880973	Bx=3511501
war balance	Cy=880973	By=3511501
balanced war	Cx=224782	Bx=872596
war balances	Cy=77165	By=278310
baleful war	Cx=8173	Bx=19764
balkan war	Cx=38337	Bx=86241
war balkan	Cy=38337	By=86241
balkans war	Cx=34607	Bx=82953
ball war	Cx=517037	Bx=1902776
war ball	Cy=517037	By=1902776
war ballad	Cy=84870	By=186618
war ballads	Cy=71783	By=143460
war ballet	Cy=114697	By=492823
war balloon	Cy=62767	By=396606
war balloons	Cy=23386	By=103955
war ballot	Cy=95105	By=216800
war ballots	Cy=30635	By=74798
baltic war	Cx=72855	Bx=188600
war baltimore	Cy=289559	By=1247731
ban war	Cx=97215	Bx=408128
war ban	Cy=97215	By=408128
banana war	Cx=42883	Bx=191027
war band	Cy=598488	By=2226386
banded war	Cx=25096	Bx=78040
bandit war	Cx=18228	Bx=63162
war bands	Cy=257063	By=811082
war bandwagon	Cy=6390	By=30664
baneful war	Cx=6432	Bx=11420
bangladesh war	Cx=120	Bx=128541
banish war	Cx=21965	Bx=51948
banished war	Cx=53422	Bx=125641
war banished	Cy=53422	By=125641
banishing war	Cx=5378	Bx=16557
bank war	Cx=1083536	Bx=4277383
war bank	Cy=1083536	By=4277383
war banking	Cy=171747	By=719334
banned war	Cx=33687	Bx=195470
war banner	Cy=81856	By=267513
war banners	Cy=36696	By=99706
banning war	Cx=14533	Bx=81932
bannock war	Cx=3978	Bx=14004
baptist war	Cx=144563	Bx=605969
bar war	Cx=586493	Bx=2525934
barbarian war	Cx=41940	Bx=85409
barbaric war	Cx=22904	Bx=62950
barbarous war	Cx=48394	Bx=79330
barbary war	Cx=13032	Bx=31116
barbed war	Cx=32109	Bx=101809
war barbour	Cy=11306	By=50477
war barely	Cy=166123	By=800961
war bargaining	Cy=206095	By=773026
war barges	Cy=27735	By=73979
baronial war	Cx=7942	Bx=15060
barons war	Cx=51924	Bx=90867
war barracks	Cy=69691	By=226419
barred war	Cx=74857	Bx=215009
barren war	Cx=90259	Bx=233141
war barriers	Cy=132638	By=798793
barring war	Cx=26053	Bx=80677
base war	Cx=1249266	Bx=5279147
war base	Cy=1249266	By=5279147
baseball war	Cx=102032	Bx=623060
war baseball	Cy=102032	By=623060
based war	Cx=1899690	Bx=11451620
war based	Cy=1899690	By=11451620
war bases	Cy=287824	By=1026547
basic war	Cx=1846860	Bx=7723017
war basically	Cy=194766	By=887471
basin war	Cx=223810	Bx=754458
war basis	Cy=2085513	By=7020684
bastard war	Cx=51157	Bx=203172
basuto war	Cx=4995	Bx=2818
bat war	Cx=88915	Bx=362821
war bat	Cy=88915	By=362821
batavian war	Cx=1615	Bx=3847
war battalion	Cy=130771	By=378470
war battalions	Cy=53161	By=125171
battered war	Cx=41149	Bx=317537
war battered	Cy=41149	By=317537
battle war	Cx=980081	Bx=2789519
war battle	Cy=980081	By=2789519
battlefield war	Cx=53310	Bx=217227
war battlefield	Cy=53310	By=217227
war battlefields	Cy=12561	By=37969
war battleground	Cy=11095	By=42286
war battlegrounds	Cy=1293	By=5594
battles war	Cx=137382	Bx=471987
war battles	Cy=137382	By=471987
war battleship	Cy=25171	By=83244
war battleships	Cy=22882	By=74926
war battling	Cy=14625	By=63296
bavarian war	Cx=26129	Bx=68853
baxter war	Cx=30211	Bx=152775
war bay	Cy=506398	By=1707122
bbc war	Cx=22580	Bx=133684
bc war	Cx=460339	Bx=1272568
war bc	Cy=460339	By=1272568
war bd	Cy=56845	By=279009
be war	Cx=70458957	Bx=236938025
war be	Cy=70458957	By=236938025
beanfield war	Cx=108	Bx=1136
bear war	Cx=773899	Bx=2331488
war bear	Cy=773899	By=2331488
war bearable	Cy=10404	By=37477
bearing war	Cx=538202	Bx=1639569
war bearing	Cy=538202	By=1639569
war bears	Cy=248031	By=721466
beastly war	Cx=10095	Bx=23088
beat war	Cx=340130	Bx=1285964
war beat	Cy=340130	By=1285964
beaten war	Cx=147608	Bx=431215
beating war	Cx=129591	Bx=468387
war beating	Cy=129591	By=468387
war beats	Cy=69848	By=347088
beautiful war	Cx=817049	Bx=2719109
war beautiful	Cy=817049	By=2719109
beaver war	Cx=64039	Bx=206828
became war	Cx=2937808	Bx=9963770
war became	Cy=2937808	By=9963770
because war	Cx=8636264	Bx=37117614
war because	Cy=8636264	By=37117614
war beck	Cy=50248	By=289622
war beckoned	Cy=15333	By=52939
become war	Cx=3674404	Bx=13623302
war become	Cy=3674404	By=13623302
becomes war	Cx=1616826	Bx=5532600
war becomes	Cy=1616826	By=5532600
becoming war	Cx=630708	Bx=2549161
war becoming	Cy=630708	By=2549161
bed war	Cx=991758	Bx=4086719
bedeutung war	Cx=9439	Bx=25057
bedouin war	Cx=12521	Bx=43198
been war	Cx=23749133	Bx=73720964
war been	Cy=23749133	By=73720964
beer war	Cx=186826	Bx=832260
war beer	Cy=186826	By=832260
war befall	Cy=18275	By=46283
war befalls	Cy=3728	By=11946
war befell	Cy=16094	By=31880
before war	Cx=8326157	Bx=27281293
war before	Cy=8326157	By=27281293
war beforehand	Cy=52992	By=151925
began war	Cx=2364448	Bx=8828671
war began	Cy=2364448	By=8828671
war begat	Cy=6635	By=18105
beget war	Cx=14140	Bx=31645
war beget	Cy=14140	By=31645
begets war	Cx=9898	Bx=25908
war begets	Cy=9898	By=25908
begetting war	Cx=6326	Bx=16747
begin war	Cx=887647	Bx=4334601
war begin	Cy=887647	By=4334601
beginning war	Cx=1781887	Bx=6077280
war beginning	Cy=1781887	By=6077280
war beginnings	Cy=136729	By=408029
begins war	Cx=584317	Bx=2583744
war begins	Cy=584317	By=2583744
war begot	Cy=7949	By=16990
war begotten	Cy=22271	By=52439
begun war	Cx=539894	Bx=1840655
war begun	Cy=539894	By=1840655
war behaved	Cy=71841	By=212705
war behavior	Cy=2149653	By=11616259
war behaviour	Cy=245742	By=813870
beheld war	Cx=46209	Bx=79765
behind war	Cx=1592590	Bx=5957308
war behind	Cy=1592590	By=5957308
behold war	Cx=133054	Bx=269365
war bei	Cy=60560	By=158612
being war	Cx=8012062	Bx=27303776
war being	Cy=8012062	By=27303776
bekannt war	Cx=1088	Bx=2296
belated war	Cx=23438	Bx=57059
belgian war	Cx=102473	Bx=202400
war belgian	Cy=102473	By=202400
belgic war	Cx=1714	Bx=2793
war belgium	Cy=142386	By=408773
war belief	Cy=749869	By=2627423
war beliefs	Cy=289251	By=1679629
believe war	Cx=1820464	Bx=6682818
war believe	Cy=1820464	By=6682818
believed war	Cx=951384	Bx=3347374
war believed	Cy=951384	By=3347374
believes war	Cx=260365	Bx=1032481
war believes	Cy=260365	By=1032481
believing war	Cx=154571	Bx=552653
war believing	Cy=154571	By=552653
war belknap	Cy=10648	By=52279
war bell	Cy=387909	By=1580822
war bellerophon	Cy=3796	By=8382
bellicose war	Cx=8395	Bx=19812
belligerent war	Cx=38577	Bx=83251
war belligerent	Cy=38577	By=83251
war belligerents	Cy=17616	By=28484
bellowing war	Cx=9571	Bx=27387
bells war	Cx=117298	Bx=302442
war bells	Cy=117298	By=302442
bellum war	Cx=18590	Bx=29668
war belong	Cy=402176	By=1062958
war belonged	Cy=251327	By=664532
war belongeth	Cy=2083	By=2542
war belonging	Cy=273666	By=690630
war belongs	Cy=293377	By=737804
beloved war	Cx=174183	Bx=561638
below war	Cx=1748586	Bx=6181673
war below	Cy=1748586	By=6181673
war belt	Cy=221923	By=747202
war belts	Cy=58224	By=197550
ben war	Cx=303045	Bx=1173515
war ben	Cy=303045	By=1173515
beneath war	Cx=425990	Bx=1462760
war beneath	Cy=425990	By=1462760
war benedict	Cy=58666	By=193041
benefit war	Cx=589192	Bx=2904428
war benefit	Cy=589192	By=2904428
war benefited	Cy=55329	By=229527
war benefits	Cy=491491	By=3284656
war benjamin	Cy=300462	By=1201420
benjamite war	Cx=730	Bx=1121
war bent	Cy=271466	By=859776
war bequeathed	Cy=29068	By=74587
war ber	Cy=52111	By=108688
war bereft	Cy=16245	By=57105
bereit war	Cx=440	Bx=1197
war bereits	Cy=1488	By=3467
berlin war	Cx=524731	Bx=1502589
war berlin	Cy=524731	By=1502589
war berween	Cy=127	By=7740
war beset	Cy=53298	By=123789
beside war	Cx=421848	Bx=1348015
war beside	Cy=421848	By=1348015
besides war	Cx=598668	Bx=1615442
war besides	Cy=598668	By=1615442
best war	Cx=3187704	Bx=11843521
war best	Cy=3187704	By=11843521
bestial war	Cx=9885	Bx=28030
